name,city,iata,icao,lat,lng
Herat Airport,Herat,HEA,OAHR,34.21,62.2283
Jalalabad Airport,Jalalabad,JAA,OAJL,34.3998,70.4986
Kabul International Airport,Kabul,KBL,OAKB,34.5659,69.2123
Kandahar Airport,Kandahar,KDH,OAKN,31.5058,65.8478
Maimana Airport,Maimama,MMZ,OAMN,35.9308,64.7609
Mazar I Sharif Airport,Mazar-i-sharif,MZR,OAMS,36.7069,67.2097
Shindand Airport,Shindand,,OASD,33.3913,62.261
Sheberghan Airport,Sheberghan,,OASG,36.7508,65.9132
Konduz Airport,Kunduz,UND,OAUZ,36.6651,68.9108
Fayzabad Airport,Faizabad,FBD,OAFZ,37.1211,70.5181
Bagram Air Base,Kabul,,OAIX,34.9461,69.265
Tarin Kowt Airport,Tarin Kowt,TII,OATN,32.6042,65.8658
Zaranj Airport,Zaranj,ZAJ,OAZJ,30.9722,61.8658
Chakcharan Airport,Chaghcharan,CCN,OACC,34.533,65.267
Camp Bastion Airport,Camp Bastion,,OAZI,31.8638,64.2246
Khost Airport,Khost,KHT,OAKS,33.3334,69.952
Sharana Airstrip,Sharona,AZ3,OASA,33.1258,68.8385
Bost Airport,Lashkar Gah,BST,OABT,31.5597,64.365
Bamiyan Airport,Bamyan,BIN,OABN,34.817,67.817
Farah Airport,Farah,FAH,OAFR,32.367,62.183
Tirana International Airport Mother Teresa,Tirana,TIA,LATI,41.4147,19.7206
Gjadër Air Base,Gjadër,,LAGJ,41.8952,19.5987
Kukës Airport,Kukës,,LAKU,42.0337,20.4159
Kuçovë Air Base,Kuçovë,,LAKV,40.7719,19.9019
Vlorë Air Base,Vlorë,,LAVL,40.4761,19.4742
Blida Airport,Blida,,DAAB,36.5036,2.8142
Bou Saada Airport,Bou Saada,,DAAD,35.3325,4.2064
Soummam Airport,Bejaja,BJA,DAAE,36.712,5.0699
Houari Boumediene Airport,Algier,ALG,DAAG,36.691,3.2154
Djanet Inedbirene Airport,Djanet,DJG,DAAJ,24.2928,9.4524
Boufarik Airport,Boufarik,QFD,DAAK,36.5458,2.8761
Reggane Airport,Reggan,,DAAN,26.7101,0.2856
Illizi Takhamalt Airport,Illizi,VVZ,DAAP,26.7235,8.6227
Ain Oussera Airport,Ain Oussera,,DAAQ,35.5254,2.8787
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,TMR,DAAT,22.8115,5.4511
Jijel Ferhat Abbas Airport,Jijel,GJL,DAAV,36.7951,5.8736
Mecheria Airport,Mecheria,,DAAY,33.5359,-0.2424
Relizane Airport,Relizane,,DAAZ,35.7522,0.6263
Annaba Airport,Annaba,AAE,DABB,36.8222,7.8092
Mohamed Boudiaf International Airport,Constantine,CZL,DABC,36.276,6.6204
Cheikh Larbi Tébessi Airport,Tebessa,TEE,DABS,35.4316,8.1207
Hassi R'Mel Airport,Tilrempt,HRM,DAFH,32.9304,3.3115
Bou Chekif Airport,Tiaret,TID,DAOB,35.3411,1.4632
Bou Sfer Airport,Bou Sfer,,DAOE,35.7354,-0.8054
Tindouf Airport,Tindouf,TIN,DAOF,27.7004,-8.1671
Ech Cheliff Airport,Ech-cheliff,QAS,DAOI,36.2127,1.3318
Tafaraoui Airport,Oran,TAF,DAOL,35.5424,-0.5323
Zenata – Messali El Hadj Airport,Tlemcen,TLM,DAON,35.0167,-1.45
Es Senia Airport,Oran,ORN,DAOO,35.6239,-0.6212
Sidi Bel Abbes Airport,Sidi Bel Abbes,,DAOS,35.1718,-0.5933
Ghriss Airport,Ghriss,MUW,DAOV,35.2077,0.1471
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,AZR,DAUA,27.8376,-0.1864
Biskra Airport,Biskra,BSK,DAUB,34.7933,5.7382
El Golea Airport,El Golea,ELG,DAUE,30.5713,2.8596
Noumérat - Moufdi Zakaria Airport,Ghardaia,GHA,DAUG,32.3841,3.7941
Oued Irara Airport,Hassi Messaoud,HME,DAUH,31.673,6.1404
In Salah Airport,In Salah,INZ,DAUI,27.251,2.512
Touggourt Sidi Madhi Airport,Touggourt,TGR,DAUK,33.0678,6.0887
Laghouat Airport,Laghouat,LOO,DAUL,33.7644,2.9283
Timimoun Airport,Timimoun,TMX,DAUT,29.2371,0.276
Ain el Beida Airport,Ouargla,OGX,DAUU,31.9172,5.4128
In Aménas Airport,Zarzaitine,IAM,DAUZ,28.0515,9.6429
Batna Airport,Batna,BLJ,DABT,35.7521,6.3086
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,CBH,DAOR,31.6457,-2.2699
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,BMW,DATM,21.375,0.9239
Guemar Airport,Guemar,ELU,DAUO,33.5114,6.7768
